"","site","beaver_territory","A_floodplain_km2","A_beaver_km2","date","time","season","DOC_input","DOC_out","delta_DOC","D_beaver_km2","D_catchment_km2"
"61","BR01",32,0.89566923388617,0.07251072,"2022-07-08","10:30:00","summer",4.681,4.11,-0.571,-7.87469769987114,1.77520890507898
"62","BR01",32,0.89566923388617,0.07251072,"2022-03-08","11:30:00","winter",3.091,3.084,-0.00700000000000012,-0.0965374499108562,1.77520890507898
"63","BY01",130,0.231343121898159,9.019e-05,"2022-07-07","19:30:00","summer",6.80894876240323,4.90948305528296,-1.89946570712027,-21060.7130182977,11.6232059995583
"64","BY01",130,0.231343121898159,9.019e-05,"2022-03-23","10:00:00","winter",4.12,3.918,-0.202,-2239.71615478434,11.6232059995583
"65","CA01",58,0.399271299489961,0.00143913,"2022-07-15","12:15:00","summer",3.295,5.087,1.792,1245.19675081473,3.95971361332409
"66","CA01",58,0.399271299489961,0.00143913,"2021-11-25","10:45:00","winter",1.714,1.719,0.00500000000000012,3.47432129133582,3.95971361332409
"67","CB01",10,10.9969714384016,0.0035067,"2022-07-04","15:15:00","summer",8.15,5.555,-2.595,-740.011977072461,0.589980617512909
"68","CB01",10,10.9969714384016,0.0035067,"2022-01-15","12:00:00","winter",1.662,1.482,-0.18,-51.3303105483788,0.589980617512909
"69","CDS02",120,1.20647013686308,0.00296834,"2022-07-27","10:30:00","summer",0.7116,1.273,0.5614,189.129277643397,0.0812286993317612
"70","CDS02",120,1.20647013686308,0.00296834,"2022-03-01","15:45:00","winter",0.6136,0.6119,-0.00170000000000003,-0.572710673305629,0.0812286993317612
"71","CH02",132,1.70499346664272,0.00947191,"2022-07-11","15:00:00","summer",3.092,3.463,0.371,39.1684464907289,0.682114050730088
"72","CH02",132,1.70499346664272,0.00947191,"2022-03-10","09:00:00","winter",1.929,1.785,-0.144,-15.2028471554312,0.682114050730088
"73","CH03",106,3.70851356722278,0.00282775,"2022-06-15","15:40:00","summer",4.84095883699157,5.35063434504792,0.50967550805635,180.240653543047,0.727234453401571
"74","CH03",106,3.70851356722278,0.00282775,"2022-03-10","10:30:00","winter",2.144,2.037,-0.107,-37.839271505614,0.727234453401571
"75","CH04",109,4.45211956976336,0.0037323,"2022-07-11","12:00:00","summer",3.508,3.354,-0.154,-41.2614205717654,0.787939305095182
"76","CH04",109,4.45211956976336,0.0037323,"2022-01-15","12:45:00","winter",0,0,0,0,0.787939305095182
"77","CR02",127,2.86136996341503,0.00309626,"2022-07-07","15:30:00","summer",2.12866526005888,2.33200064475214,0.203335384693259,65.6712888107779,0.0376271721012903
"78","CR02",127,2.86136996341503,0.00309626,"2022-03-28","14:20:00","winter",2.021,1.777,-0.244,-78.8047515389534,0.0376271721012903
"79","CRA02",101,0.960930406209053,0.003942,"2022-06-13","16:30:00","summer",5.37465028075549,4.71048551960886,-0.664164761146624,-168.484211351249,1.65324176495033
"80","CRA02",101,0.960930406209053,0.003942,"2022-02-19","14:50:00","winter",3.786,3.777,-0.0089999999999999,-2.28310502283103,1.65324176495033
"81","CRB01",103,0.236983967769141,0.00108748,"2022-06-14","10:00:00","summer",3.21204486983155,2.50693615936752,-0.705108710464024,-648.38775008646,8.49443482941667
"82","CRB01",103,0.236983967769141,0.00108748,"2022-03-09","15:30:00","winter",1.199,1.211,0.012,11.0346856953691,8.49443482941667
"83","CX01",99,1.10253794472982,0.00706942,"2022-06-13","13:55:00","summer",3.9661112302195,4.93359259826442,0.96748136804492,136.85441918077,1.48485704101611
"84","CX01",99,1.10253794472982,0.00706942,"2022-04-14","13:20:00","winter",2.329,2.549,0.22,31.1199504344062,1.48485704101611
"85","CX03_2",147,5.4415761286574,0.03390467,"2022-08-03","14:15:00","summer",3.733,3.577,-0.156,-4.60113606768625,0.12661772686988
"86","CX03_2",147,5.4415761286574,0.03390467,"2022-04-29","12:50:00","winter",3.044,2.878,-0.166,-4.89608068740973,0.12661772686988
"87","CX03_3",148,4.59235150242078,0.07540908,"2022-08-03","11:45:00","summer",3.147,3.761,0.614,8.14225554800562,0.0224285967539081
"88","CX03_3",148,4.59235150242078,0.07540908,"2022-04-29","15:15:00","winter",3.044,3.014,-0.0300000000000002,-0.397830075635457,0.0224285967539081
"89","CZ01_1",63,0.187560755588395,0.00070926,"2022-07-18","13:45:00","summer",1.027,0.911,-0.116,-163.550743027945,-4.76112392061217
"90","CZ01_1",63,0.187560755588395,0.00070926,"2022-01-15","10:42:00","winter",1.92,1.678,-0.242,-341.200688041057,-4.76112392061217
"91","CZ01_2",64,0.190076444334428,0.00027279,"2022-07-18","14:15:00","summer",1.288,2.605,1.317,4827.88958539536,-4.12991732220559
"92","CZ01_2",64,0.190076444334428,0.00027279,"2022-01-22","12:07:00","winter",2.073,2.109,0.036,131.969646981194,-4.12991732220559
"93","DB04",89,5.66687346114169,0.0387905,"2022-07-22","14:30:00","summer",1.64,1.447,-0.193,-4.97544501875459,0.122342594157789
"94","DB04",89,5.66687346114169,0.0387905,"2022-01-25","12:00:00","winter",0.9467,0.99,0.0432999999999998,1.11625269073613,0.122342594157789
"95","DBW01",94,0.546483246230422,0.00445458,"2022-07-25","11:45:00","summer",1.762,1.812,0.05,11.2244027495297,0.810637843073438
"96","DBW01",94,0.546483246230422,0.00445458,"2022-03-14","11:00:00","winter",1.319,1.554,0.235,52.7546929227896,0.810637843073438
"97","EC01",100,3.95419553081116,0.0318117,"2022-06-13","15:15:00","summer",3.39700454313425,3.19781720265442,-0.199187340479837,-6.26144910456961,0.425372121845782
"98","EC01",100,3.95419553081116,0.0318117,"2022-04-14","14:50:00","winter",1.715,1.863,0.148,4.65237632694889,0.425372121845782
"99","EG01",46,0.742412509527383,0.0367126,"2022-07-11","17:00:00","summer",1.44,2.612,1.172,31.9236447432217,-0.911891962099313
"100","EG01",46,0.742412509527383,0.0367126,"2022-04-30","21:05:00","winter",2.117,2.646,0.529,14.4092219020173,-0.911891962099313
"101","FFG01",128,0.285972211568536,0.0003201,"2022-07-20","11:15:00","summer",11.1622552732406,9.39533811446452,-1.76691715877605,-5519.89115518916,7.02954759909889
"102","FFG01",128,0.285972211568536,0.0003201,"2022-03-23","11:00:00","winter",9.152,7.819,-1.333,-4164.32364885973,7.02954759909889
"103","FIB02",98,2.00642599872223,0.00376627,"2022-07-25","16:30:00","summer",2.02,2.008,-0.012,-3.1861762433389,0.200854654124621
"104","FIB02",98,2.00642599872223,0.00376627,"2021-12-21","11:00:00","winter",1.617,0.9375,-0.6795,-180.417229779065,0.200854654124621
"105","FOB01_2",37,4.84327270409331,0.00959182,"2022-07-08","16:45:00","summer",5.524,6.536,1.012,105.506567054011,0.498010363521651
"106","FOB01_2",37,4.84327270409331,0.00959182,"2022-03-11","13:30:00","winter",3.112,3.198,0.0859999999999999,8.96597308957006,0.498010363521651
"107","FOB01_3",38,0.809365206572881,0.00779196,"2022-07-08","17:15:00","summer",4.237,3.505,-0.732,-93.9429873869989,3.04559669724082
"108","FOB01_3",38,0.809365206572881,0.00779196,"2022-03-11","16:30:00","winter",1.772,2.401,0.629,80.7242336972982,3.04559669724082
"109","GB08",117,16.9291479895658,0.00229177,"2022-07-19","16:00:00","summer",1.06777982234783,1.77604031054648,0.708260488198646,309.045186994614,-0.225659329105443
"110","GB08",117,16.9291479895658,0.00229177,"2022-02-25","16:40:00","winter",4.888,4.898,0.00999999999999979,4.3634396121774,-0.225659329105443
"111","GB13",116,0.480820219749328,0.02135958,"2022-07-08","15:00:00","summer",0.465919241982507,1.91592510086141,1.4500058588789,67.8855042505002,-1.04754487712701
"112","GB13",116,0.480820219749328,0.02135958,"2022-02-26","16:50:00","winter",0.9696,0.9123,-0.0573,-2.68263701814362,-1.04754487712701
"113","GC01",110,0.679760080232018,0.00659242,"2022-06-30","14:30:00","summer",5.00279089456869,4.96104968051118,-0.0417412140575086,-6.33169823183423,3.32586593463539
"114","GC01",110,0.679760080232018,0.00659242,"2022-02-01","16:15:00","winter",2.742,2.606,-0.136,-20.6297535654585,3.32586593463539
"115","GF04",33,5.0035581625829,0.00348151,"2022-07-08","11:30:00","summer",3.66,3.554,-0.106,-30.4465591079733,0.371935318733125
"116","GF04",33,5.0035581625829,0.00348151,"2022-03-08","13:00:00","winter",1.799,1.859,0.06,17.2339013818717,0.371935318733125
"117","GL04_1",17,0.470078109105104,0.00733508,"2022-07-06","10:00:00","summer",3.676,3.455,-0.221,-30.1291874117256,-0.497789612976171
"118","GL04_1",17,0.470078109105104,0.00733508,"2022-04-26","15:50:00","winter",3.91,3.745,-0.165,-22.494642185225,-0.497789612976171
"119","GL04_2",18,1.20199980073171,0.00591716,"2022-07-06","09:30:00","summer",3.639,3.52,-0.119,-20.11099919556,-0.16306159109235
"120","GL04_2",18,1.20199980073171,0.00591716,"2022-04-26","14:45:00","winter",3.835,4.005,0.17,28.7299988508,-0.16306159109235
"121","GR01",149,15.3236500079421,0.0200954,"2022-07-26","10:00:00","summer",5.971,7.086,1.115,55.4853349522776,0.142133238417163
"122","GR01",149,15.3236500079421,0.0200954,"2022-04-27","17:20:00","winter",3.793,3.898,0.105,5.2250763856405,0.142133238417163
"123","GS09",19,1.29645446560738,0.0100864,"2022-07-06","11:15:00","summer",3.448,6.509,3.061,303.477950507614,1.14851700503219
"124","GS09",19,1.29645446560738,0.0100864,"2022-03-19","16:45:00","winter",1.959,3.927,1.968,195.11421319797,1.14851700503219
"125","GW02",39,34.961955573588,0.12638509,"2022-07-08","14:30:00","summer",3.736,4.124,0.387999999999999,3.06998238478921,0.0459928506177373
"126","GW02",39,34.961955573588,0.12638509,"2022-03-08","14:30:00","winter",2.128,2.13,0.00199999999999978,0.0158246514679839,0.0459928506177373
"127","GW05",35,3.47112765143826,0.11755443,"2022-07-08","13:30:00","summer",3.562,2.294,-1.268,-10.7864926910879,0.441643222013112
"128","GW05",35,3.47112765143826,0.11755443,"2022-03-11","10:00:00","winter",2.029,1.786,-0.243,-2.06712754253498,0.441643222013112
"129","HEUD02",50,0.885373539505772,0.01021988,"2022-07-13","13:30:00","summer",1.422,2.033,0.611,59.7854377937901,-0.129888679600923
"130","HEUD02",50,0.885373539505772,0.01021988,"2022-03-03","16:15:00","winter",1.537,1.534,-0.00299999999999989,-0.293545521082429,-0.129888679600923
