"site","p_sink","p_rope","p_source","med","lo","hi","class"
"DB04",0,0.9985,0.0015,0.0981544112252389,-0.0977905246850661,0.292545013552124,"negligible"
"DBW01",0,0.9985,0.0015,0.13031931774976,-0.0644410675712345,0.322486000018664,"negligible"
"EC01",0,1,0,0.0703349111109739,-0.132922784032719,0.260273362732074,"negligible"
"EG01",0,0.974,0.026,0.205920782553621,0.000667961334032782,0.459241935033801,"negligible"
"Ellikon",0,0.9985,0.0015,0.0544726549493085,-0.156264081671438,0.258196894957005,"negligible"
"FFG01",0.31,0.69,0,-0.404737904079988,-0.721593829932586,-0.0939733471680395,"negligible"
"FIB02",0,1,0,0.0331743619921615,-0.177905663897059,0.243572850057942,"negligible"
"FOB01_2",0,0.9985,0.0015,0.0276967361640075,-0.171730002668982,0.25725887637301,"negligible"
"FOB01_3",0,0.9985,0.0015,0.063728151926995,-0.146806932320665,0.276038789686636,"negligible"
"Gaebelbach",5e-04,0.9995,0,0.00864815881480433,-0.1996395335633,0.215366611418819,"negligible"
"GB08",0,0.9985,0.0015,0.0875994255919485,-0.105229618387255,0.29037591510531,"negligible"
"GB13",0,0.9825,0.0175,0.195324783528541,-0.0211574143887854,0.42001771457337,"negligible"
"GC01",5e-04,0.999,5e-04,-0.0144580854911374,-0.207290848033707,0.204600476870577,"negligible"
"GF04",0,1,0,0.0493047151494285,-0.148723621235142,0.241256047338619,"negligible"
"Gile",0,0.9985,0.0015,0.083042600311283,-0.121018582014633,0.297587733526226,"negligible"
"GL04_1",5e-04,0.999,5e-04,0.00217434180970791,-0.217213885011388,0.20887192488311,"negligible"
"GL04_2",0,1,0,0.0180047623029778,-0.172666870177585,0.237443623698666,"negligible"
"GR01",5e-04,0.998,0.0015,0.012333279597078,-0.197118864716414,0.255045132748182,"negligible"
"GS09",0,0.9935,0.0065,0.121671594347028,-0.0876642945322405,0.354391390320333,"negligible"
"GW02",0,0.999,0.001,0.0580189320300043,-0.132771893063602,0.265357627111368,"negligible"
"GW05",0.003,0.997,0,-0.00942145965993581,-0.242471592844609,0.191354308020987,"negligible"
"Haslibach",0.0015,0.9985,0,-0.0178108471212369,-0.265742298831712,0.217022758720775,"negligible"
"Hemishofen",0,1,0,0.0615262624596907,-0.145017836198287,0.291791318700467,"negligible"
"HEUD02",0,0.9965,0.0035,0.133661280456046,-0.0530981730158147,0.338043759897107,"negligible"
"HMK01",0,0.997,0.003,0.110337156720972,-0.0842298523766154,0.320769778023921,"negligible"
"HOB01",0,0.9995,5e-04,0.0671750672440945,-0.127052723498312,0.255321136417412,"negligible"
"HR05",5e-04,0.998,0.0015,0.118939863424744,-0.0844497159156236,0.319486828003085,"negligible"
"KP01",0,0.999,0.001,0.0411154586557469,-0.145649140183318,0.256487041891724,"negligible"
"LA04",0,1,0,0.0416654218075739,-0.152081426258569,0.255386807782811,"negligible"
"LAB01",0,0.999,0.001,-0.0233939022914242,-0.213657551791261,0.174537558429072,"negligible"
"LAN02",0,0.989,0.011,0.14071963501502,-0.0605333741959019,0.380921310530319,"negligible"
"Leugene",0,0.9765,0.0235,0.205719381589234,-0.0298533029140584,0.446545865037047,"negligible"
"LOCH01",0,0.998,0.002,0.14107720104512,-0.0530428714291186,0.331245066614009,"negligible"
"Logge",0.004,0.996,0,-0.109776920476429,-0.336818839660357,0.0936441922687856,"negligible"
"LU01",0,1,0,0.00339860342182861,-0.202551758086517,0.209439758334877,"negligible"
"LU02",0.002,0.998,0,-0.0732122166175898,-0.310551352485781,0.145366673832415,"negligible"
"LW02",5e-04,0.9995,0,-0.00265003772064096,-0.206098946292842,0.210250435378153,"negligible"
"LY01",0,0.995,0.005,0.150143035063085,-0.0502495771835087,0.357827721416459,"negligible"
"MAED01",0,0.997,0.003,0.0804940904326888,-0.119401145518398,0.304140870299849,"negligible"
"MD01",0,0.999,0.001,0.100423170482617,-0.111692398523925,0.299893236608217,"negligible"
"MKEM01",0,0.9995,5e-04,0.103079506679312,-0.105919687611184,0.291356214239651,"negligible"
"MO03",0,0.9975,0.0025,0.0731525852015317,-0.115210662982741,0.290051247246483,"negligible"
"MS03",0,1,0,0.0461640350271137,-0.15336127200282,0.245673764153473,"negligible"
"MUE01",5e-04,0.9995,0,0.0095150274601534,-0.193371037947554,0.209591617637707,"negligible"
"MUE01_3",0,0.7295,0.2705,0.382228763611552,0.041132486101634,0.690500454717199,"negligible"
"MUE01_6",0,0.7805,0.2195,0.311322226833701,-0.0307749457978487,0.689715907405596,"negligible"
"MUE02",0,0.9965,0.0035,0.135578704371352,-0.0760710896349242,0.346494596259895,"negligible"
"MUE03",0,1,0,0.0436016950165972,-0.177096550251302,0.2336219832048,"negligible"
"MUE03_B",0,0.9975,0.0025,0.112705830496076,-0.0865409403508965,0.330854568644816,"negligible"
"MUE05_1",0.0015,0.997,0.0015,0.0401433552274547,-0.204040221232874,0.237968686586792,"negligible"
"MUE05_14",0,0.9935,0.0065,0.148255687368718,-0.0511424076251639,0.372224501465497,"negligible"
"MUE05_17",0,0.9935,0.0065,0.159441411370203,-0.0407699630190818,0.368540011656766,"negligible"
"MUH01",0,0.999,0.001,0.0296146195591076,-0.18490575425051,0.243373920788375,"negligible"
"NAB01",0,1,0,-0.0140126018992424,-0.215243304414313,0.182935875791215,"negligible"
"NB01",0,0.998,0.002,0.1039275361425,-0.0833660945045697,0.295939252590945,"negligible"
"NB04",0,1,0,-0.0331568974566248,-0.230225968479883,0.174124182335888,"negligible"
"NI01",5e-04,0.999,5e-04,0.0103218249728196,-0.208817226282774,0.233305878536458,"negligible"
"Nider",5e-04,0.998,0.0015,0.0560770688638284,-0.168791620061519,0.298299911479843,"negligible"
"PF02",0,0.999,0.001,0.108617538398758,-0.0940239390956311,0.307976136800957,"negligible"
"PGL03",0,0.999,0.001,0.0549959875949194,-0.170800174132786,0.257268231631845,"negligible"
"PL01",0,0.998,0.002,0.104083208651805,-0.101168870281536,0.323256418278501,"negligible"
"PR01",0,0.931,0.069,0.280034277934164,0.0271237965785227,0.524459173232619,"negligible"
"R<U+00C3><U+0153>B01",0,0.9975,0.0025,0.00850336413881358,-0.21676291448683,0.25427811722754,"negligible"
"R<U+00C3><U+0153>B02",0,1,0,-0.0614163230577952,-0.270327480876186,0.160020825667361,"negligible"
"RBK01",0,0.9965,0.0035,0.156570519370642,-0.0427281751307078,0.346427013159625,"negligible"
"RBK07",0.238,0.762,0,-0.378294313276916,-0.668381743197229,-0.0746060496507938,"negligible"
"RBK08",0.099,0.901,0,-0.262158565926187,-0.571174865776551,0.0474818478248815,"negligible"
"RDC01",0,0.9935,0.0065,0.110535734047441,-0.0993452619699616,0.361253297918498,"negligible"
"RH05",5e-04,0.9945,0.005,0.118593762527948,-0.0831589952545323,0.339189974335293,"negligible"
"RH09",0.001,0.999,0,0.0274414029983138,-0.213989173738619,0.225427951436701,"negligible"
"RH11",0,0.9945,0.0055,0.129485259843643,-0.066931219672527,0.353447745917628,"negligible"
"RIB01",0,0.9935,0.0065,0.146655078657006,-0.0448029139863437,0.358875761448581,"negligible"
"Riedgrabe",0,0.996,0.004,0.0953788972110313,-0.127595955998169,0.332437267930611,"negligible"
"RIEGR02",0.0015,0.998,5e-04,-0.02277415557993,-0.272728937343033,0.227504008653022,"negligible"
"RM02_1",0,0.998,0.002,0.108130341912363,-0.0973926652114988,0.310594877489666,"negligible"
"RM02_2",0,0.9975,0.0025,0.114922720942026,-0.0834328503222383,0.307690090976384,"negligible"
"ROG02",0,0.997,0.003,0.125063621599473,-0.0762688720602353,0.321027614927206,"negligible"
"Rot",0,0.9995,5e-04,0.00394772496073249,-0.203257229875565,0.197541444515063,"negligible"
"RU01",0,1,0,0.0804019300118649,-0.117417961398136,0.294491050674527,"negligible"
"RU02",0,0.999,0.001,0.102187710120731,-0.0953403318306365,0.310844578904104,"negligible"
"SA01",0,0.9985,0.0015,0.000768235749351072,-0.198841956029169,0.225687547831373,"negligible"
"SA04",0,0.998,0.002,0.05425430105543,-0.152842419398741,0.264367422439723,"negligible"
"SAR03",0,0.9995,5e-04,0.0965187036662679,-0.0989321416734243,0.292992367800929,"negligible"
"SB02_TG",0,1,0,-0.0261248361551607,-0.221059476673608,0.168670971205972,"negligible"
"SB02_ZH",5e-04,0.9995,0,-0.0139484440159078,-0.226694428968186,0.220911556579961,"negligible"
"SBAB02",0,0.997,0.003,0.0905823559888731,-0.118111561497129,0.300552873769765,"negligible"
"SBAB03",0.001,0.9975,0.0015,0.0296568735694443,-0.192732819123018,0.234426217347273,"negligible"
"SCHWB02",0,0.9975,0.0025,0.0659134630131523,-0.160566599648553,0.278821878566879,"negligible"
"SE03",0,0.995,0.005,0.127715605381236,-0.0649397922962123,0.352455062770109,"negligible"
